"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","signaling receptor regulator activity","GO:0030545","true","0.004420952829489707","2.3544841188877514","126","871","24","11911","ASTC,CG16704,NPLP2,MS,GBP3,SNPF,SEMA1A,MYO,THS,GBP1,ACTBETA,CCHA2,CNMA,JEB,SPZ,ITP,BNL,PYR,AMN,CG3513,CG41520,PVF2,RYA,ACP33A"
"GO:MF","signaling receptor activator activity","GO:0030546","false","0.009417612187871214","2.0260591975347615","115","871","22","11911","ASTC,NPLP2,MS,GBP3,SNPF,SEMA1A,MYO,THS,GBP1,ACTBETA,CCHA2,CNMA,JEB,SPZ,ITP,BNL,PYR,AMN,CG41520,PVF2,RYA,ACP33A"
"GO:MF","receptor ligand activity","GO:0048018","false","0.014757048624165795","1.831000491727437","110","871","21","11911","ASTC,NPLP2,MS,GBP3,SNPF,SEMA1A,MYO,THS,GBP1,ACTBETA,CCHA2,CNMA,JEB,SPZ,ITP,BNL,PYR,AMN,PVF2,RYA,ACP33A"
"GO:MF","translation repressor activity","GO:0030371","true","0.014779985101396264","1.8303260037209395","25","871","9","11911","MARF1,MSI,HEPH,EIF4EHP,SXL,PAIP2,BRAT,ORB2,BCD"
"GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","true","0.028958548500780064","1.5382232102200486","498","871","60","11911","HTH,CI,HR38,FOXP,SCRO,NFI,SR,DSX,ATF6,SCR,HR3,ACJ6,LIM1,OVA,VRI,MITF,CG11294,CF2,NK7.1,CREBA,DEC,SOX21B,JIM,KR,OC,GATAD,CG30431,CRC,OVO,PHO,SOX102F,CG17385,PDP1,ATF3,IRBP18,RUNXB,SQZ,FUSS,CAD,SV,TEF,BRK,CG6813,NERFIN-1,EDL,DFD,RN,EN,BCD,E(SPL)M3-HLH,CG2678,HB,HAND,CG17801,LIME,MID,ESG,CG4374,SENS-2,RUN"
"GO:MF","mRNA binding","GO:0003729","true","0.045446672694689744","1.3424979074526266","238","871","34","11911","RBFOX1,FNE,BRU3,MARF1,RPS5B,MSI,HEPH,PS,IMP,SXL,CG34354,YPS,SM,4E-T,OTU,BRAT,ARC1,SNRNP-U1-C,YTR,QKR54B,TIS11,RBP1-LIKE,CG42360,PIP4K,OSK,MKRN1,EIF4H1,ORB2,CG10466,PABP,VAS,MOV10,BCD,SWA"
"GO:MF","mRNA 3'-UTR binding","GO:0003730","false","0.047445011674891506","1.3238094421608473","48","871","12","11911","RBFOX1,HEPH,IMP,SXL,BRAT,TIS11,PIP4K,MKRN1,ORB2,PABP,VAS,BCD"
"GO:BP","chorion-containing eggshell formation","GO:0007304","true","0.00007562406512584061","4.121339981109038","51","856","17","11687","PXT,FS(1)N,CP36,EMC,DEC,VM26AA,CP7FC,CG13299,CP7FA,CP7FB,OXP,MID,MUC12EA,CG15721,CG32642,VM26AB,VML"
"GO:BP","nuclear division","GO:0000280","true","0.00009815361629267498","4.008093694973587","291","856","48","11687","DHD,CYCB,GWL,SXL,BUGZ,EFF,POLO,NIPPED-B,SRA,RAB1,YETI,WISP,C(3)G,ALPHATUB67C,ORB2,TEF,FEO,CYCA,NEK2,CYCE,PABP,BORR,PAV,PIM,STI,SUB,CKS30A,VAS,CMET,FZY,MTRM,C(2)M,APC7,CDK1,SPN-E,GAMMATUB37C,CAN,MEI-38,CID,TUM,SPC25,MINK,BORA,AURB,STEXH:CG42398,MMS4,CONA,FIGN"
"GO:BP","eggshell formation","GO:0030703","false","0.00014383885207525554","3.8421237915408484","53","856","17","11687","PXT,FS(1)N,CP36,EMC,DEC,VM26AA,CP7FC,CG13299,CP7FA,CP7FB,OXP,MID,MUC12EA,CG15721,CG32642,VM26AB,VML"
"GO:BP","organelle fission","GO:0048285","false","0.0003747536848804656","3.426254088125087","313","856","49","11687","DHD,CYCB,GWL,SXL,BUGZ,EFF,POLO,NIPPED-B,SRA,RAB1,YETI,WISP,C(3)G,CG7772,ALPHATUB67C,ORB2,TEF,FEO,CYCA,NEK2,CYCE,PABP,BORR,PAV,PIM,STI,SUB,CKS30A,VAS,CMET,FZY,MTRM,C(2)M,APC7,CDK1,SPN-E,GAMMATUB37C,CAN,MEI-38,CID,TUM,SPC25,MINK,BORA,AURB,STEXH:CG42398,MMS4,CONA,FIGN"
"GO:BP","reproductive process","GO:0022414","true","0.00038230579090161297","3.4175891235410862","1273","856","140","11687","RBFOX1,DHD,FNE,YL,CYCB,SH,SUMO,MSI,HEPH,IMP,GWL,SXL,DGRN,DCP2,FOXP,PEN,FAD2,MBL,DSX,PXT,NTL,CHINMO,YPS,FS(1)N,PIWI,CP36,EFF,POLO,OTU,BRAT,DNC,RL,EMC,HID,CF2,STAI,NIPPED-B,EXU,PTEN,TRS20,SRA,RAB1,PUC,DEC,RALA,CAMKII,GMF,FS(1)YA,OVO,STG,CP16,MTL,YETI,NUP62,ZPG,WISP,ELOF,PGC,C(3)G,MT:CYT-B,SPZ,FS(1)K10,OSK,ALPHATUB67C,PARP,MKRN1,ORB2,TEF,VM26AA,CKIIALPHA,GUS,CYCE,AMN,SPD-2,CG9925,PABP,KRIMP,CP7FC,ARX,GNU,ASP,PIM,STI,SUB,CKS30A,VAS,NDL,PCNA,OBP56H,GR68A,FZY,CG13299,EN,BCD,MTRM,C(2)M,SOYB,CP7FA,CG17575,RPR,CDK1,CG11700,SPN-E,BOYB,PNG,GAMMATUB37C,PLU,CAN,MEI-38,SWA,CP7FB,CG31926,SPC25,FAN,OXP,CYP4D21,OR67D,MID,MUC12EA,CHEB42A,CG13113,MCM7,CG15042,PHF7,MUC4B,CG15721,ACP62F,AURB,CG32642,STIL,VM26AB,ACP33A,STEXH:CG42398,MMS4,CONA,EBP,VML,SPAG4,CG31661,RUN"
