"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","RNA binding","GO:0003723","true","0.00020508963175101068","3.688056294712774","740","815","86","11911","CRN,TRAP1,HNRNP-K,BARC,SPT5,RPL7A,CG3732,CG8064,SRPRALPHA,PEA,CG4291,BSF,MSL-3,MRPL1,SU(VAR)205,SF3A1,PRP6,CG4887,SAF-B,SRP54K,CG10333,EIF3G1,SMG6,CG9143,CG11454,DBE,MRPL44,SF3B2,CG7878,BYS,TSU,CG7903,ZC3H3,L(2)37CB,CG11563,RNP4F,NON1,CG3862,CG7728,NOI,MRPL11,CG5986,SERRS-M,PHAX,HEXIM,PENG,TYRRS-M,SRP19,CG14100,SAS10,NAT1,MIF2,RSWL,CG3225,CG3436,MRPS9,SLIMP,CG8611,CG7706,CG11417,CG3594,WDR79,CG4806,RNMT,CBP20,NSUN5,CG3808,CG43902,CG12259,CG14230,CG3294,CG17168,CG11123,MRPL20,L(2)10685,SLU7,CG13807,CG6712,CG7246,PUS7,VITO,L(1)G0004,CG2021,ACHL,CG32706,CG15432"
"GO:MF","catalytic activity","GO:0003824","true","0.0002477969753741553","3.605903998954027","4157","815","349","11911","PPO1,ND-51,SSADH,ND-49,PPO2,CG5282,TRAP1,IPP,MEFG1,ND-42,CG6028,INAC,NMNAT,CG5644,CG1317,ND-ASHI,ILK,VPS4,CG42813,L2HGDH,OPA1,CG2680,COMT,UFL1,CERK,YP3,RAGA-B,CG9391,ABCB7,ARGK1,PATSAS,CG7791,VHA68-1,YP2,CG16979,MI-2,SRPRALPHA,PAPSS,CG13360,L(3)02640,CG7582,VPS15,PEA,MRNA-CAP,COQ8,CANB,GYCALPHA99B,PGAP3,SDHA,CDS,CG30491,ISWI,PHU,GSTD9,CG7430,TACE,CG7627,CG3704,ND-30,TRPRS,CG33090,HEMK1,PRP5,CALPA,NINAC,HMT-1,PCYT2,CG11594,MCO4,PCMT,GDH,CG14823,KLP64D,CG31248,CG42271,CG12237,CHD1,CG3270,FCP1,STE24A,CG10621,HDAC11,CG10428,ND-B14,CYP6A2,SRP54K,CG10333,WOL,SOL,USP20-33,CG10623,CG3156,PEX10,SE,NEP4,SMG6,CG7737,CG9143,TMTC3,CG17544,PI3K59F,MRPL44,NEURL4,CG1492,GNF1,CG10362,SPG7,BRE1,USP5,PIG-K,CG7878,CG6034,MRE11,CG15814,DARE,EIF5B,GAD1,PYROXD1,CG16935,CG6171,L(2)37CB,CG11474,DHC64C,NON1,CTPSYN,CG46338,CG16756,SIRT7,AK1,C1GALTA,CG13344,E(Z),AANATL2,CG7728,CG5131,MIRO,P5CDH1,POLR3B,ACSF2,NEP3,PDH,CG9743,RPT6,ATG3,CG4238,CG11883,UROD,CG9498,EGM,CG5027,CG1309,PEX6,PNKP,FBP,CIAPIN1,PASK,COQ3,TDC2,AGPS,REXO5,SERRS-M,CIN,RAB21,ALP4,CALYPSO,KAT-60L1,CG6195,CG10628,NITFHIT,ENDOB,CG10494,DIP-B,MRRF2,CYP6G2,DRL,CCHL,NMD,NSMASE,TYRRS-M,CG10561,UBC7,CG5793,STURKOPF,CG14100,JHEH3,UGT36D1,GK1,SHOP,PPOX,NS4,CG6083,CG9643,CG32099,MIF2,RSWL,CG6465,SEPTIN2,CG3225,LAS,CG9588,MOB4,METTL2,EMC10,LKB1,SLIMP,FKBP39,CG8611,AMACR,FMO-2,UCH-L5,NAZ,CHT2,PEX2,CYP40,PHR,HEXO1,CG8738,PIG-A,CG17333,GMD,RNMT,GSTT2,CG8306,RRP1,CG12746,NSUN5,ND-19,CG10947,PBGS,CG3808,KRI,PARG,USP39,CG6345,ANGEL,ARR2,CG6178,CG4847,POLR1C,MARC,DND,AANATL7,RPI,L(2)10685,CG2656,RNH1,EST-6,SAMTOR,CHT11,DRD,RIOK1,CG6201,CG3358,CG9386,ORC4,CG5418,CHAT,CG34348,NINAG,CG8679,THG,CYSRS-M,TG,CG9119,CG34120,CG9497,CYP4C3,PUS7,SPTR,SMYDA-8,CG11447,RDHB,CG11986,CG10581,GMER,BOND,B,TLD,HEX-C,MAL-B1,GSTD11,T,MHC,SMYDA-4,ARGK2,HACD1,ANTDH,CG5359,CG42329,CG7768,CG9541,CG5065,UGT35E2,PKM,LYSP,CG31823,CG30053,CG31821,CG33108,CYP312A1,CG5653,CG30157,CG6839,MESH1,JHEDUP,LOXL2,TOBI,AGPAT4,AMY-P,SMYDA-3,TTLL3A,GSTE4,TGY,CG31810,HMGCL,ALPHA-MAN-IC,CG31371,PGANT4,AOX4,POLR3G,CG3819,OSY,GLD,POLR1D,KIF19A,CG11459,GFAT1,SMYD4-3,DHC1,CG14892,CG15343,MEEP,RABX5,GSTD8,CG10405,CG31683,CG11309,AMY-D,AMD,CG31473,CHT4,CG14118,PGANT35A,WAT,VANIN-LIKE,BETATUB65B,CG6800,FLZ,CG9550"
"GO:MF","binding","GO:0005488","true","0.001362677406591769","2.8656069446929373","7009","815","540","11911","PPO1,VHA100-1,CG15537,ND-51,ND-49,PPO2,CRN,CG5282,CG6693,TRAP1,CG10483,CG11099,MORGUE,JIGR1,RTP,MEFG1,ND-42,HNRNP-K,CG3847,GBETA5,BRMS1,TANGO10,INAC,ZIF,CG3548,FLACC,NMNAT,HUG,CG1317,FER1,TTC7,ILK,BARC,VPS4,CG42813,OPA1,CG2680,COMT,UFL1,CERK,RAGA-B,SPT5,UNC-45,ILP2,EEF1DELTA,CG9391,WTRW,RPL7A,MAT1,CG3732,CG10340,ABCB7,CG8064,ARGK1,PATSAS,CG14647,CG7791,ARP6,VHA68-1,FWS,GRAU,TBCE,MI-2,SRPRALPHA,CG1909,Z,EUC,PAPSS,VPS15,PEA,MRNA-CAP,COQ8,GABA-B-R2,CANB,CG6495,GYCALPHA99B,CG4291,BSF,SDHA,ISWI,CG6184,EIF3M,CG8814,PHU,TAF5,CG7430,TACE,DWG,MSL-3,CG7627,DNAJ-H,CG3704,ND-30,TRPRS,MRPL1,MAGR,SU(VAR)205,SF3A1,HEMK1,PRP6,CG5439,DPR5,PRP5,CALPA,NINAC,HMT-1,PCYT2,MCO4,GDH,RSPH3,CG14823,KLP64D,CG4887,APLIP1,ECD,SAF-B,MFAP1,CG12237,RPL34A,CHD1,MLT,STE24A,CG10321,CG2116,CIA30,CG11523,CG10621,SYX17,CG5862,CYP6A2,TK,SRP54K,CG10333,SOL,CG10623,EIF3G1,CDC37,CG3156,MOR,CG10565,PEX10,SE,NEP4,SMG6,ATG6,VPS16A,CG9143,TMTC3,CG11454,DBE,CG17544,PI3K59F,MRPL44,ACN,GNF1,CG10362,INAD,SPG7,ICA69,BRE1,USP5,SF3B2,CG7878,CG32486,GAMMASNAP1,TAF11,GLE1,MRE11,CG3191,CG15814,BYS,RBPN-5,TSU,CG7903,SCGALPHA,EIF5B,CG15514,ARP10,GAD1,CG31638,SKPA,SYND,PYROXD1,CYC,CNGB,CG6171,ZIPIC,ZC3H3,L(2)37CB,CG11474,CG11563,RNP4F,DHC64C,AP-1MU,HPR1,SEC6,NON1,CTPSYN,TTC19,SIRT7,CG3862,NOA36,CG9590,CG17361,AK1,C1GALTA,UVRAG,CG13344,E(Z),CG10274,CG7728,CG5131,GBETA76C,MIRO,NOI,POLR3B,NEP3,PDH,CG9743,RPT6,SICILY,CCHA1,MIP,DSH,CG11883,CG31650,IMPE1,RLIP,CG8042,CG14894,EGM,DPR20,PEX6,CG10209,D1,NWK,CG6607,BRD8,MRPL11,PNKP,FBP,CIAPIN1,EMA,BLOS1,CG9609,CG11906,PASK,CTR9,CG1523,LSN,ARPC5,CG5986,TNPO-SR,CG13204,RPN7,TDC2,CG5515,AGPS,REXO5,CORTACTIN,SERRS-M,CIN,RAB21,PHAX,HEXIM,GALECTIN,PENG,ALP4,CALYPSO,KAT-60L1,CG2712,CG6195,CG10628,NITFHIT,ENDOB,DIP-B,MRRF2,CYP6G2,DRL,ILP3,CCHL,NMD,CG3909,RNB,NSMASE,FMRFA,TYRRS-M,HP1C,CIAO1,SRP19,UBC7,STURKOPF,MYD,SIN1,CG4766,LRP4,CG14100,SAS10,GK1,FRG1,SHOP,NAT1,NS4,SU(HW),CTCF,RAD60,CG32099,MIF2,RSWL,POLR3D,SERT,CG6465,SEPTIN2,CG3225,TAP42,ODJ,NF-YB,LAS,CG9588,CG4936,MOB4,VELI,CG4709,CG18262,CG4707,CG3436,EMC10,LKB1,MRPS9,SLIMP,CG2889,FKBP39,CG8611,CG5114,ADA2A,CG7706,CG11696,FMO-2,CHP,NEDD8,CG5022,CHT2,PEX2,WDA,EIF2BBETA,MEFTS,KIN17,CYP40,PHR,CG11417,CG3594,WDR79,OBP83EF,LMX1A,LST8,CG31345,CG4806,RNMT,CG9890,RRP1,CBP20,ARU,TRPL,PRG,CG14352,BOSS,OTK2,SIP1,NSUN5,HP1B,PBGS,CG3808,CG43902,ATOX1,CG1231,USP39,CG12259,CG6345,CG12182,CG14230,MED7,ARR2,CG3294,CG17168,IBF1,SET,POLR1C,MARC,DND,TRP,CG11123,ASTA,BIGMAX,NC2BETA,CG4610,MRPL20,L(2)10685,WDR92,CG2656,CG30496,CG31229,SPT3,CG4935,SLU7,OPM,RNH1,ARCHEASE,CG13807,CG14710,SAMTOR,CHT11,RIOK1,CG3342,PFDN4,ING5,CULD,CG3358,CG6712,ORC4,MED22,NINAG,CG8679,CG10631,THG,CG13502,CYSRS-M,TG,CG4278,CG7246,CG9119,TPNC47D,CG34120,CG4115,CYP4C3,CG1602,PUS7,SMYDA-8,L(2)EFL,CG14543,CG11986,CG10581,B,THOC6,TLD,CG30094,CG6749,HEX-C,VITO,HSP67BC,SBDS,CRYS,CG6688,MHC,L(1)G0004,SMYDA-4,CG10959,IBF2,GPA2,CG2021,ARGK2,ACHL,HACD1,CG5023,BUFFY,PBP45,CG5359,NPLP3,CG7768,CG9541,CG32706,ORCO,WUPA,CG15432,ASTCC,CG10053,HLH3B,FER2,CG15561,VAJK2,CYP312A1,MWH,CG6839,MESH1,LOXL2,UP,AMY-P,CG15701,SMYDA-3,TTLL3A,HMGCL,ALPHA-MAN-IC,CG31371,PGANT4,CG10185,AOX4,CG3819,OSY,GLD,CG13806,POLR1D,BAP,OR85F,KIF19A,CCAP,KAL1,TM2,EH,POXM,POXN,HSP67BA,C15,GFAT1,CG15818,SMYD4-3,CG7409,DHC1,CG15343,MEEP,RABX5,PHDP,VAJK4,CG13133,CG8192,PIF2,CG32641,CG7102,CG11309,CG17258,AMY-D,AMD,CG31473,CHT4,CG7714,CG14118,OBP83A,PGANT35A,VHA100-3,BETATUB65B,CG6800,TTC26"
"GO:MF","methyltransferase activity","GO:0008168","true","0.0035470231826892377","2.4501359730501577","142","815","25","11911","HEMK1,PCMT,CG10621,CG10428,CG10623,CG11474,E(Z),CIAPIN1,COQ3,CG14100,CG9643,RSWL,METTL2,RNMT,NSUN5,CG10947,CG3808,L(2)10685,SAMTOR,CG9386,SMYDA-8,CG11447,SMYDA-4,SMYDA-3,SMYD4-3"
"GO:MF","transferase activity, transferring one-carbon groups","GO:0016741","false","0.008350660933159863","2.078279149873917","149","815","25","11911","HEMK1,PCMT,CG10621,CG10428,CG10623,CG11474,E(Z),CIAPIN1,COQ3,CG14100,CG9643,RSWL,METTL2,RNMT,NSUN5,CG10947,CG3808,L(2)10685,SAMTOR,CG9386,SMYDA-8,CG11447,SMYDA-4,SMYDA-3,SMYD4-3"
"GO:MF","organic cyclic compound binding","GO:0097159","false","0.010884143831729908","1.9632057277417942","3143","815","265","11911","ND-51,ND-49,CRN,TRAP1,JIGR1,MEFG1,HNRNP-K,CG3847,INAC,ZIF,CG3548,NMNAT,FER1,ILK,BARC,VPS4,OPA1,COMT,RAGA-B,SPT5,EEF1DELTA,RPL7A,CG3732,ABCB7,CG8064,ARGK1,VHA68-1,GRAU,MI-2,SRPRALPHA,Z,PAPSS,VPS15,PEA,MRNA-CAP,GYCALPHA99B,CG4291,BSF,SDHA,ISWI,EIF3M,CG8814,CG7430,DWG,MSL-3,CG7627,CG3704,TRPRS,MRPL1,SU(VAR)205,SF3A1,HEMK1,PRP6,PRP5,NINAC,HMT-1,GDH,KLP64D,CG4887,SAF-B,CHD1,CG10321,CG2116,CYP6A2,SRP54K,CG10333,EIF3G1,CG3156,SMG6,CG9143,CG11454,DBE,CG17544,PI3K59F,MRPL44,ACN,GNF1,SPG7,SF3B2,CG7878,BYS,TSU,CG7903,EIF5B,CG15514,GAD1,PYROXD1,CYC,CNGB,ZIPIC,ZC3H3,L(2)37CB,CG11563,RNP4F,DHC64C,NON1,CTPSYN,SIRT7,CG3862,AK1,E(Z),CG10274,CG7728,MIRO,NOI,POLR3B,PDH,RPT6,CG11883,EGM,PEX6,CG10209,D1,MRPL11,PNKP,CG9609,CG11906,PASK,CG5986,CG13204,TDC2,AGPS,REXO5,SERRS-M,CIN,RAB21,PHAX,HEXIM,PENG,KAT-60L1,CG2712,CG6195,CG10628,NITFHIT,MRRF2,CYP6G2,DRL,NMD,TYRRS-M,SRP19,UBC7,CG14100,SAS10,GK1,SHOP,NAT1,NS4,SU(HW),CTCF,MIF2,RSWL,POLR3D,SERT,SEPTIN2,CG3225,ODJ,NF-YB,CG4936,CG4709,CG18262,CG4707,CG3436,EMC10,LKB1,MRPS9,SLIMP,CG2889,FKBP39,CG8611,ADA2A,CG7706,CG11696,FMO-2,EIF2BBETA,MEFTS,KIN17,PHR,CG11417,CG3594,WDR79,LMX1A,CG4806,RNMT,CG9890,RRP1,CBP20,PRG,CG14352,SIP1,NSUN5,CG3808,CG43902,CG1231,CG12259,CG14230,CG3294,CG17168,IBF1,MARC,DND,CG11123,BIGMAX,NC2BETA,CG4610,MRPL20,L(2)10685,CG2656,SLU7,RNH1,CG13807,CG14710,RIOK1,CG6712,ORC4,NINAG,CG10631,THG,CYSRS-M,CG7246,CG34120,CYP4C3,CG1602,PUS7,CG11986,CG10581,B,HEX-C,VITO,MHC,L(1)G0004,CG10959,IBF2,CG2021,ARGK2,ACHL,PBP45,CG9541,CG32706,CG15432,CG10053,HLH3B,FER2,CG15561,CYP312A1,CG6839,TTLL3A,AOX4,CG3819,OSY,GLD,POLR1D,BAP,KIF19A,POXM,POXN,C15,DHC1,CG15343,RABX5,PHDP,AMD,CG31473,CG14118,BETATUB65B,CG6800"
"GO:MF","pyrophosphatase activity","GO:0016462","true","0.012309676786641638","1.9097533501248032","451","815","54","11911","TRAP1,MEFG1,VPS4,CG42813,OPA1,COMT,RAGA-B,ABCB7,VHA68-1,MI-2,SRPRALPHA,PEA,MRNA-CAP,COQ8,ISWI,CG7627,CG3704,HMT-1,KLP64D,CHD1,SRP54K,CG3156,GNF1,SPG7,EIF5B,DHC64C,NON1,CG7728,MIRO,RPT6,PEX6,RAB21,KAT-60L1,CG6195,CG10628,NITFHIT,MRRF2,NMD,NS4,MIF2,SEPTIN2,EMC10,CG8611,CG12746,DND,CG2656,ORC4,CG34120,CG10581,OSY,KIF19A,DHC1,RABX5,BETATUB65B"
"GO:MF","hydrolase activity, acting on acid anhydrides","GO:0016817","false","0.015687660074199583","1.8044418296856823","455","815","54","11911","TRAP1,MEFG1,VPS4,CG42813,OPA1,COMT,RAGA-B,ABCB7,VHA68-1,MI-2,SRPRALPHA,PEA,MRNA-CAP,COQ8,ISWI,CG7627,CG3704,HMT-1,KLP64D,CHD1,SRP54K,CG3156,GNF1,SPG7,EIF5B,DHC64C,NON1,CG7728,MIRO,RPT6,PEX6,RAB21,KAT-60L1,CG6195,CG10628,NITFHIT,MRRF2,NMD,NS4,MIF2,SEPTIN2,EMC10,CG8611,CG12746,DND,CG2656,ORC4,CG34120,CG10581,OSY,KIF19A,DHC1,RABX5,BETATUB65B"
"GO:MF","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","GO:0016818","false","0.015687660074199583","1.8044418296856823","455","815","54","11911","TRAP1,MEFG1,VPS4,CG42813,OPA1,COMT,RAGA-B,ABCB7,VHA68-1,MI-2,SRPRALPHA,PEA,MRNA-CAP,COQ8,ISWI,CG7627,CG3704,HMT-1,KLP64D,CHD1,SRP54K,CG3156,GNF1,SPG7,EIF5B,DHC64C,NON1,CG7728,MIRO,RPT6,PEX6,RAB21,KAT-60L1,CG6195,CG10628,NITFHIT,MRRF2,NMD,NS4,MIF2,SEPTIN2,EMC10,CG8611,CG12746,DND,CG2656,ORC4,CG34120,CG10581,OSY,KIF19A,DHC1,RABX5,BETATUB65B"
"GO:MF","anion binding","GO:0043168","true","0.021465285853858034","1.6682633236333404","1227","815","118","11911","ND-51,TRAP1,CG10483,MEFG1,INAC,NMNAT,ILK,VPS4,OPA1,COMT,RAGA-B,ABCB7,ARGK1,VHA68-1,MI-2,SRPRALPHA,PAPSS,VPS15,PEA,MRNA-CAP,GYCALPHA99B,SDHA,ISWI,CG8814,CG7430,CG7627,CG3704,TRPRS,PRP5,NINAC,HMT-1,GDH,KLP64D,CHD1,SRP54K,CG10333,CG3156,CG9143,CG17544,PI3K59F,GNF1,SPG7,CG7878,GLE1,EIF5B,GAD1,PYROXD1,CNGB,L(2)37CB,DHC64C,NON1,CTPSYN,SIRT7,AK1,CG7728,MIRO,RPT6,DSH,EGM,PEX6,NWK,PNKP,PASK,TDC2,AGPS,SERRS-M,CIN,RAB21,KAT-60L1,CG6195,CG10628,MRRF2,DRL,NMD,TYRRS-M,UBC7,SIN1,GK1,NS4,MIF2,SEPTIN2,CG3225,EMC10,LKB1,SLIMP,CG8611,CG7706,FMO-2,TRPL,CG17168,MARC,DND,TRP,CG4610,CG2656,RIOK1,NINAG,THG,CYSRS-M,CG34120,CG10581,B,HEX-C,MHC,ARGK2,CG9541,TTLL3A,AOX4,OSY,GLD,KIF19A,DHC1,CG15343,RABX5,AMD,CG31473,BETATUB65B,CG6800"
