"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","oxidoreduction-driven active transmembrane transporter activity","GO:0015453","true","0.0000313217420363046","4.504154091578491","34","79","6","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,MT:COIII"
"GO:MF","NAD(P)H dehydrogenase (quinone) activity","GO:0003955","false","0.000046955326529026765","4.328315135006992","19","79","5","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4"
"GO:MF","NADH dehydrogenase (ubiquinone) activity","GO:0008137","false","0.000046955326529026765","4.328315135006992","19","79","5","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4"
"GO:MF","NADH dehydrogenase (quinone) activity","GO:0050136","false","0.000046955326529026765","4.328315135006992","19","79","5","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4"
"GO:MF","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","GO:0016655","false","0.000046955326529026765","4.328315135006992","19","79","5","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4"
"GO:MF","primary active transmembrane transporter activity","GO:0015399","false","0.00007879721128742545","4.103489152357068","132","79","9","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,MT:COIII,CG32000,SPOCK,CG9990"
"GO:MF","NADH dehydrogenase activity","GO:0003954","false","0.00008132377440831205","4.089782473041103","21","79","5","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4"
"GO:MF","electron transfer activity","GO:0009055","false","0.00008661380171122805","4.062412898635816","40","79","6","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,MT:COIII"
"GO:MF","active transmembrane transporter activity","GO:0022804","false","0.0003763227070966321","3.4244395758091795","258","79","11","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,MT:COIII,MPCP2,CG32000,NCKX30C,SPOCK,CG9990"
"GO:MF","oxidoreductase activity, acting on NAD(P)H","GO:0016651","false","0.0008912941426838916","3.0499789475195582","33","79","5","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4"
"GO:MF","transmembrane transporter activity","GO:0022857","false","0.0015544743365457723","2.8084164435072867","807","79","18","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,MT:COIII,MPCP2,CG32000,NCKX30C,NACHRALPHA4,SUN,TTY,TASK6,SPOCK,CG42340,SHAL,MID1,CG9990"
"GO:MF","transporter activity","GO:0005215","false","0.003888260587020829","2.4102446368237462","862","79","18","11911","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,MT:COIII,MPCP2,CG32000,NCKX30C,NACHRALPHA4,SUN,TTY,TASK6,SPOCK,CG42340,SHAL,MID1,CG9990"
"GO:MF","monoatomic cation transmembrane transporter activity","GO:0008324","true","0.01283155991098762","1.8917205439716314","307","79","10","11911","MT:COIII,CG32000,NCKX30C,NACHRALPHA4,SUN,TASK6,SPOCK,CG42340,SHAL,MID1"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","false","0.0260261493822543","1.584590081823261","404","79","11","11911","MT:COIII,CG32000,NCKX30C,NACHRALPHA4,SUN,TTY,TASK6,SPOCK,CG42340,SHAL,MID1"
"GO:MF","outward rectifier potassium channel activity","GO:0015271","true","0.029447978653053482","1.5309445103829205","13","79","3","11911","TASK6,CG42340,SHAL"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","false","0.03106360935171959","1.507748084007828","341","79","10","11911","MT:COIII,MPCP2,NCKX30C,SUN,TTY,TASK6,SPOCK,CG42340,SHAL,MID1"
"GO:BP","inorganic ion transmembrane transport","GO:0098660","true","0.0004071925630735169","3.3902001625122313","367","72","13","11687","MT:ND5,MT:ND4,MT:COIII,MPCP2,NCKX30C,CG11319,SUN,TTY,TASK6,SPOCK,CG42340,SHAL,MID1"
"GO:BP","monoatomic ion transmembrane transport","GO:0034220","true","0.0008735497294189182","3.0587123664710103","461","72","14","11687","MT:ND5,MT:ND4,MT:COIII,CG32000,NCKX30C,NACHRALPHA4,CG11319,SUN,TTY,TASK6,SPOCK,CG42340,SHAL,MID1"
"GO:BP","monoatomic cation transmembrane transport","GO:0098655","false","0.0010228262888834156","2.990198118179649","333","72","12","11687","MT:ND5,MT:ND4,MT:COIII,CG32000,NCKX30C,CG11319,SUN,TASK6,SPOCK,CG42340,SHAL,MID1"
"GO:BP","inorganic cation transmembrane transport","GO:0098662","false","0.004076915714471184","2.3896682669923974","314","72","11","11687","MT:ND5,MT:ND4,MT:COIII,NCKX30C,CG11319,SUN,TASK6,SPOCK,CG42340,SHAL,MID1"
"GO:BP","monoatomic cation transport","GO:0006812","false","0.00623041345855955","2.20548313202257","396","72","12","11687","MT:ND5,MT:ND4,MT:COIII,CG32000,NCKX30C,CG11319,SUN,TASK6,SPOCK,CG42340,SHAL,MID1"
"GO:BP","monoatomic ion transport","GO:0006811","false","0.00683692149519106","2.165139406848692","549","72","14","11687","MT:ND5,MT:ND4,MT:COIII,CG32000,NCKX30C,NACHRALPHA4,CG11319,SUN,TTY,TASK6,SPOCK,CG42340,SHAL,MID1"
"GO:BP","oxidative phosphorylation","GO:0006119","true","0.008500164778481376","2.0705726552631702","115","72","7","11687","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,MT:COIII,SUN"
"GO:BP","system process","GO:0003008","true","0.032363417038685546","1.4899456303632292","717","72","15","11687","FMRFA,CCAP,RAD,DOP2R,GAD1,TOB,NACHRALPHA4,MGLUR,DPR11,SNMP2,CG43778,DRD,SHAL,MLC2,KIS"
"GO:BP","ATP synthesis coupled electron transport","GO:0042773","false","0.04152047323267171","1.3817377052278368","99","72","6","11687","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,MT:COIII"
"GO:BP","aerobic respiration","GO:0009060","false","0.04413444059986078","1.355222373685984","148","72","7","11687","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,MT:COIII,SUN"
"GO:CC","transmembrane transporter complex","GO:1902495","true","0.00003604066162825873","4.443207244916494","172","80","10","12059","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,NACHRALPHA4,CG11319,TTY,SHAL,CG9990"
"GO:CC","transporter complex","GO:1990351","false","0.00007467157161390976","4.126844707971786","186","80","10","12059","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,NACHRALPHA4,CG11319,TTY,SHAL,CG9990"
"GO:CC","membrane protein complex","GO:0098796","false","0.0037007996077320004","2.4317044306067017","568","80","14","12059","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4,AP-2MU,NACHRALPHA4,MGLUR,CG11319,SUN,TTY,SHAL,VPS11,CG9990"
"GO:CC","respiratory chain complex I","GO:0045271","false","0.004044086328739423","2.3931795821376665","51","80","5","12059","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4"
"GO:CC","NADH dehydrogenase complex","GO:0030964","false","0.004044086328739423","2.3931795821376665","51","80","5","12059","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4"
"GO:CC","mitochondrial respiratory chain complex I","GO:0005747","false","0.004044086328739423","2.3931795821376665","51","80","5","12059","MT:ND6,MT:ND5,MT:ND3,MT:ND2,MT:ND4"
"GO:CC","striated muscle myosin thick filament","GO:0005863","true","0.04991127945372366","1.3018012970429154","4","80","2","12059","MF,SLS"
