"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","electron transfer activity","GO:0009055","true","3.744377418166083e-7","6.426620382592625","40","62","7","11911","MT:ND6,MT:ND3,MT:ND2,MT:COIII,MT:ND5,MT:ND4,CYT-C-P"
"GO:MF","active transmembrane transporter activity","GO:0022804","true","0.000002146739148891072","5.6682207236492905","258","62","12","11911","MT:ND6,MT:ND3,MT:ND2,MT:COIII,DAT,MT:ND5,CG32000,MT:ND4,MPCP2,NCKX30C,CG8177,CG2316"
"GO:MF","oxidoreduction-driven active transmembrane transporter activity","GO:0015453","false","0.000005861772421874741","5.231971046669092","34","62","6","11911","MT:ND6,MT:ND3,MT:ND2,MT:COIII,MT:ND5,MT:ND4"
"GO:MF","NAD(P)H dehydrogenase (quinone) activity","GO:0003955","false","0.0000112087025842647","4.9504446544080425","19","62","5","11911","MT:ND6,MT:ND3,MT:ND2,MT:ND5,MT:ND4"
"GO:MF","NADH dehydrogenase (ubiquinone) activity","GO:0008137","false","0.0000112087025842647","4.9504446544080425","19","62","5","11911","MT:ND6,MT:ND3,MT:ND2,MT:ND5,MT:ND4"
"GO:MF","NADH dehydrogenase (quinone) activity","GO:0050136","false","0.0000112087025842647","4.9504446544080425","19","62","5","11911","MT:ND6,MT:ND3,MT:ND2,MT:ND5,MT:ND4"
"GO:MF","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","GO:0016655","false","0.0000112087025842647","4.9504446544080425","19","62","5","11911","MT:ND6,MT:ND3,MT:ND2,MT:ND5,MT:ND4"
"GO:MF","transporter activity","GO:0005215","false","0.000012070187642950184","4.918285978314881","862","62","19","11911","MT:ND6,MT:ND3,MT:ND2,MT:COIII,DAT,MT:ND5,CG32000,MT:ND4,MPCP2,NCKX30C,SUN,FWE,TTY,CG8177,MID1,SHAL,CA-ALPHA1T,CG2316,CG32485"
"GO:MF","NADH dehydrogenase activity","GO:0003954","false","0.000019459126463888794","4.710876659464782","21","62","5","11911","MT:ND6,MT:ND3,MT:ND2,MT:ND5,MT:ND4"
"GO:MF","transmembrane transporter activity","GO:0022857","false","0.000025519508545914243","4.593127693503098","807","62","18","11911","MT:ND6,MT:ND3,MT:ND2,MT:COIII,DAT,MT:ND5,CG32000,MT:ND4,MPCP2,NCKX30C,SUN,FWE,TTY,CG8177,MID1,SHAL,CA-ALPHA1T,CG2316"
"GO:MF","primary active transmembrane transporter activity","GO:0015399","false","0.00011825596242981843","3.927176953041837","132","62","8","11911","MT:ND6,MT:ND3,MT:ND2,MT:COIII,MT:ND5,CG32000,MT:ND4,CG2316"
"GO:MF","oxidoreductase activity, acting on NAD(P)H","GO:0016651","false","0.0002163366559509664","3.6648698877339823","33","62","5","11911","MT:ND6,MT:ND3,MT:ND2,MT:ND5,MT:ND4"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","true","0.0003900676566366117","3.4088600587284046","341","62","11","11911","MT:COIII,DAT,MPCP2,NCKX30C,SUN,FWE,TTY,CG8177,MID1,SHAL,CA-ALPHA1T"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","false","0.002007449520793674","2.697355366655205","404","62","11","11911","MT:COIII,DAT,CG32000,NCKX30C,SUN,FWE,TTY,CG8177,MID1,SHAL,CA-ALPHA1T"
"GO:MF","monoatomic cation transmembrane transporter activity","GO:0008324","false","0.008573720785871309","2.0668306639475986","307","62","9","11911","MT:COIII,DAT,CG32000,NCKX30C,SUN,FWE,MID1,SHAL,CA-ALPHA1T"
"GO:MF","G protein-coupled receptor activity","GO:0004930","true","0.010732256506985897","1.969308955992898","119","62","6","11911","DOP2R,FZ,CG44153,GABA-B-R3,MACHR-B,DOP1R2"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","0.028387969097961818","1.5468656761989619","278","62","8","11911","MT:COIII,DAT,NCKX30C,SUN,FWE,MID1,SHAL,CA-ALPHA1T"
"GO:MF","calcium channel activity","GO:0005262","true","0.028995089201971254","1.5376755508280162","46","62","4","11911","NCKX30C,FWE,MID1,CA-ALPHA1T"
"GO:BP","inorganic ion transmembrane transport","GO:0098660","true","0.000040812531359083444","4.389206467682311","367","61","13","11687","MT:COIII,DAT,MT:ND5,MT:ND4,MPCP2,NCKX30C,SUN,FWE,TTY,MID1,SHAL,CA-ALPHA1T,RGK2"
