"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","proton-transporting ATP synthase activity, rotational mechanism","GO:0046933","true","3.210743127688772e-8","7.493394438341861","23","132","8","11911","ATPSYNB,BLW,ATPSYNO,ATPSYNF,ATPSYND,ATPSYNG,SUN,ATPSYNCF6"
"GO:MF","proton channel activity","GO:0015252","false","9.948924917551654e-8","7.002223846651337","26","132","8","11911","ATPSYNB,BLW,ATPSYNO,ATPSYNF,ATPSYND,ATPSYNG,SUN,ATPSYNCF6"
"GO:MF","oxidoreductase activity","GO:0016491","true","0.0000010996964007459693","5.958727196368633","660","132","27","11911","MT:ND2,MT:ND5,COX5A,COX6B,ND-19,ND-23,CG11876,ND-20,ND-42,ND-30,MDH2,ND-B14,COX7A,ND-B22,CG5028,ND-B14.5A,ND-13B,ND-B18,SOD2,ND-B15,SDHD,ND-B17.2,CG7430,ND-B14.5B,COX8,HO,ND-MLRQ"
"GO:MF","hormone activity","GO:0005179","true","0.0000016118068157170551","5.79268701209405","51","132","9","11911","ASTA,NPLP2,PROC,CRZ,CCHA1,ILP2,ILP3,NPLP3,ILP5"
"GO:MF","receptor ligand activity","GO:0048018","false","0.00014907478368905038","3.8265958121530765","110","132","10","11911","ASTA,NPLP2,PROC,CRZ,CCHA1,ILP2,FMRFA,ILP3,NPLP3,ILP5"
"GO:MF","signaling receptor activator activity","GO:0030546","false","0.00022611550451974297","3.6456696574843264","115","132","10","11911","ASTA,NPLP2,PROC,CRZ,CCHA1,ILP2,FMRFA,ILP3,NPLP3,ILP5"
"GO:MF","neuropeptide hormone activity","GO:0005184","false","0.0002610132897316259","3.5833373795959185","29","132","6","11911","ASTA,NPLP2,PROC,CRZ,CCHA1,NPLP3"
"GO:MF","neuropeptide activity","GO:0160041","false","0.0002610132897316259","3.5833373795959185","29","132","6","11911","ASTA,NPLP2,PROC,CRZ,CCHA1,NPLP3"
"GO:MF","signaling receptor regulator activity","GO:0030545","false","0.0005272759525101784","3.2779620350980494","126","132","10","11911","ASTA,NPLP2,PROC,CRZ,CCHA1,ILP2,FMRFA,ILP3,NPLP3,ILP5"
"GO:MF","NADH dehydrogenase (ubiquinone) activity","GO:0008137","false","0.0006517856739950473","3.1858951893959953","19","132","5","11911","MT:ND2,MT:ND5,ND-23,ND-20,ND-30"
"GO:MF","NADH dehydrogenase (quinone) activity","GO:0050136","false","0.0006517856739950473","3.1858951893959953","19","132","5","11911","MT:ND2,MT:ND5,ND-23,ND-20,ND-30"
"GO:MF","NAD(P)H dehydrogenase (quinone) activity","GO:0003955","false","0.0006517856739950473","3.1858951893959953","19","132","5","11911","MT:ND2,MT:ND5,ND-23,ND-20,ND-30"
"GO:MF","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","GO:0016655","false","0.0006517856739950473","3.1858951893959953","19","132","5","11911","MT:ND2,MT:ND5,ND-23,ND-20,ND-30"
"GO:MF","proton transmembrane transporter activity","GO:0015078","false","0.0006816664149094091","3.166428102772597","75","132","8","11911","ATPSYNB,BLW,ATPSYNO,ATPSYNF,ATPSYND,ATPSYNG,SUN,ATPSYNCF6"
"GO:MF","NADH dehydrogenase activity","GO:0003954","false","0.0011204916702393024","2.9505913676720286","21","132","5","11911","MT:ND2,MT:ND5,ND-23,ND-20,ND-30"
"GO:MF","electron transfer activity","GO:0009055","false","0.0019085913482780495","2.7192870491790226","40","132","6","11911","MT:ND2,MT:ND5,CYT-C-P,ND-23,ND-20,ND-30"
