"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","proton-transporting ATP synthase activity, rotational mechanism","GO:0046933","true","4.210255218044523e-15","14.3756915772216","23","102","11","11911","ATPSYNB,BLW,ATPSYNDELTA,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA"
"GO:MF","proton channel activity","GO:0015252","false","2.35560207713935e-14","13.627898071396961","26","102","11","11911","ATPSYNB,BLW,ATPSYNDELTA,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA"
"GO:MF","proton transmembrane transporter activity","GO:0015078","false","4.351086819317722e-10","9.361402250935177","75","102","12","11911","RFESP,ATPSYNB,BLW,ATPSYNDELTA,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA"
"GO:MF","oxidoreductase activity","GO:0016491","true","1.0034664733997779e-8","7.998497133052638","660","102","26","11911","MT:ND2,MT:ND5,RFESP,COX6B,ND-19,MDH2,COX7A,ND-B22,GAPDH1,COX5A,SDHD,SDHC,ND-13B,ND-30,ND-B17,ND-B14,ND-B14.5B,CG7430,ND-B17.2,GDH,ND-24,CYPE,CG11876,ND-B15,HO,COX8"
"GO:MF","transmembrane transporter activity","GO:0022857","false","1.5533797353916592e-7","6.808722364731237","807","102","27","11911","MT:ND2,MT:ND5,RFESP,MPCP2,ATPSYNB,SESB,BLW,ATPSYNDELTA,PORIN,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA,VMAT,ND-30,FWE,ND-24,NACHRALPHA4,SFXN2,MPC1,DIC1,CG9399,CG1907"
"GO:MF","transporter activity","GO:0005215","false","6.637131417314366e-7","6.178019583103865","862","102","27","11911","MT:ND2,MT:ND5,RFESP,MPCP2,ATPSYNB,SESB,BLW,ATPSYNDELTA,PORIN,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA,VMAT,ND-30,FWE,ND-24,NACHRALPHA4,SFXN2,MPC1,DIC1,CG9399,CG1907"
"GO:MF","monoatomic cation channel activity","GO:0005261","false","8.052020390760649e-7","6.094095133984126","173","102","13","11911","ATPSYNB,BLW,ATPSYNDELTA,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA,FWE,NACHRALPHA4"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","false","0.0000013375640269907053","5.8736854198463835","341","102","17","11911","RFESP,MPCP2,ATPSYNB,BLW,ATPSYNDELTA,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA,VMAT,FWE,DIC1,CG1907"
"GO:MF","electron transfer activity","GO:0009055","true","0.000013169401075717514","4.880433975640005","40","102","7","11911","MT:ND2,MT:ND5,RFESP,CYT-C-P,SDHC,ND-30,ND-24"
"GO:MF","monoatomic cation transmembrane transporter activity","GO:0008324","false","0.000015702897187467724","4.804020212784966","307","102","15","11911","RFESP,ATPSYNB,BLW,ATPSYNDELTA,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA,VMAT,FWE,NACHRALPHA4"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","false","0.00001647453596408212","4.783186809272752","404","102","17","11911","RFESP,ATPSYNB,BLW,ATPSYNDELTA,PORIN,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA,VMAT,FWE,NACHRALPHA4,SFXN2"
"GO:MF","monoatomic ion channel activity","GO:0005216","false","0.00001657357226982706","4.780583873604475","264","102","14","11911","ATPSYNB,BLW,ATPSYNDELTA,PORIN,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA,FWE,NACHRALPHA4"
"GO:MF","ligase activity","GO:0016874","false","0.000030283298552765353","4.518796821865398","157","102","11","11911","ATPSYNB,BLW,ATPSYNDELTA,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","0.00003153476314520347","4.5012104266055735","278","102","14","11911","RFESP,ATPSYNB,BLW,ATPSYNDELTA,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA,VMAT,FWE"
"GO:MF","channel activity","GO:0015267","false","0.00006551983625265841","4.183627196636157","295","102","14","11911","ATPSYNB,BLW,ATPSYNDELTA,PORIN,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA,FWE,NACHRALPHA4"
"GO:MF","passive transmembrane transporter activity","GO:0022803","false","0.00006551983625265841","4.183627196636157","295","102","14","11911","ATPSYNB,BLW,ATPSYNDELTA,PORIN,ATPSYNE,ATPSYND,ATPSYNF,ATPSYNCF6,SUN,ATPSYNO,ATPSYNG,ATPSYNGAMMA,FWE,NACHRALPHA4"
"GO:MF","hormone activity","GO:0005179","true","0.00007572293866665194","4.120772540218722","51","102","7","11911","DSK,LK,ILP2,PDF,CRZ,MIP,ILP5"
"GO:MF","neuropeptide activity","GO:0160041","false","0.0013664824863557897","2.8643959301094695","29","102","5","11911","DSK,LK,PDF,CRZ,MIP"
"GO:MF","neuropeptide hormone activity","GO:0005184","false","0.0013664824863557897","2.8643959301094695","29","102","5","11911","DSK,LK,PDF,CRZ,MIP"
