"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","symporter activity","GO:0015293","true","0.0011895986863046562","2.9245995240850884","70","42","5","11954","APOLPP,CG33296,CG9657,LIST,CG42235"
"GO:MF","secondary active transmembrane transporter activity","GO:0015291","false","0.0014237467122230523","2.846567265803122","128","42","6","11954","APOLPP,CG33296,CG9657,LIST,CG42235,ZYD"
"GO:MF","solute:monoatomic cation symporter activity","GO:0015294","false","0.008106610965200545","2.0911606681965735","51","42","4","11954","CG33296,CG9657,LIST,CG42235"
"GO:MF","active monoatomic ion transmembrane transporter activity","GO:0022853","false","0.03306944594362542","1.4805730813379414","139","42","5","11954","CG33296,CG9657,LIST,CG42235,ZYD"
"GO:MF","neuropeptide hormone activity","GO:0005184","true","0.038414230851814474","1.4155078580416014","29","42","3","11954","PROC,CAPA,PDF"
"GO:MF","neuropeptide activity","GO:0160041","false","0.038414230851814474","1.4155078580416014","29","42","3","11954","PROC,CAPA,PDF"
"GO:BP","sodium ion transmembrane transport","GO:0035725","true","0.012947332017236919","1.8878197149468958","101","37","5","11686","CG33296,CG9657,LIST,CG42235,ZYD"
"GO:BP","sodium ion transport","GO:0006814","false","0.031041582967748192","1.5080561399709085","121","37","5","11686","CG33296,CG9657,LIST,CG42235,ZYD"
"GO:CC","extracellular region","GO:0005576","true","0.021655229698687644","1.6644372053147216","1206","42","13","12142","ARC1,APOLPP,PROC,CAPA,CG31869,CG31704,AXO,PDF,OBP57C,CG10433,IMPL2,SXE2,CG5758"
"GO:CC","extracellular space","GO:0005615","false","0.02517733058886532","1.5989903175951596","739","42","10","12142","APOLPP,PROC,CAPA,CG31869,CG31704,PDF,CG10433,IMPL2,SXE2,CG5758"
"TF","Factor: En; motif: NYAATTAN","TF:M07791","false","0.0006951338385489384","3.157931569874218","3512","50","28","13981","MTNA,APOLPP,CG3940,CG31706,CG10527,CG13833,CG31248,CYP313A1,CG11407,TREH,CG9657,CG9507,LIST,CG6409,CG13053,CG31869,WRAPPER,ANXB9,CG42235,CG43091,CG32521,PDF,CG31663,IMPL2,CG7084,SXE2,MND,CG5758"
"TF","Factor: Rx; motif: NYAATTAN","TF:M07824","false","0.019307845869503796","1.7142661767215437","1965","50","18","13981","MTNA,APOLPP,CG31248,CG11407,LIST,CG13053,CG31869,WRAPPER,ANXB9,CG42235,CG43091,CG32521,PDF,CG31663,IMPL2,CG7084,SXE2,CG5758"
"TF","Factor: Lbe; motif: NYAATTAN","TF:M07804","false","0.0356418112672728","1.448040233832864","4772","50","30","13981","MTNA,HIS2B:CG33868,APOLPP,CG3940,CG31248,CG30438,CG5895,CG11407,LIST,CG7888,CG6409,CG16743,CG13053,CG31869,WRAPPER,ANXB9,CG31704,CG42235,DGP-1,CG43091,ZYD,AXO,CG32521,PDF,CG31663,CG10433,IMPL2,CG7084,SXE2,CG5758"
