"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","NADH dehydrogenase (ubiquinone) activity","GO:0008137","true","0.0000020304540533256634","5.692406833611963","19","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","GO:0016655","false","0.0000020304540533256634","5.692406833611963","19","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","oxidoreductase activity, acting on NAD(P)H","GO:0016651","false","0.000011422512281541884","4.942238366316424","33","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","oxidoreduction-driven active transmembrane transporter activity","GO:0015453","false","0.000012527129007782812","4.902148450070899","34","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","electron transfer activity","GO:0009055","false","0.000020675357694890005","4.684546968180584","40","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","proton transmembrane transporter activity","GO:0015078","false","0.00029794425306170453","3.5258649871066563","96","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","primary active transmembrane transporter activity","GO:0015399","false","0.0007794941280219899","3.1081871520303066","132","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","active monoatomic ion transmembrane transporter activity","GO:0022853","false","0.0009108489039053065","3.040553659956269","139","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","oxidoreductase activity","GO:0016491","false","0.001451753356328747","2.838107161242033","669","4","4","11954","PLE,MT:ND6,MT:ND3,MT:ND2"
"GO:MF","active transmembrane transporter activity","GO:0022804","false","0.006044756258277766","2.218621206435823","261","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","0.009729971878169218","2.0118884149396212","306","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","monoatomic cation transmembrane transporter activity","GO:0008324","false","0.01275398165240081","1.894354212114862","335","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","false","0.01620886511306822","1.790247391837872","363","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","false","0.029156490716479348","1.5352647490160338","442","4","3","11954","MT:ND6,MT:ND3,MT:ND2"
"GO:MF","tyrosine 3-monooxygenase activity","GO:0004511","true","0.04994269076234219","1.3015280628705965","1","4","1","11954","PLE"
"GO:BP","mitochondrial electron transport, NADH to ubiquinone","GO:0006120","true","0.00008686714838829305","4.061144434957094","47","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:BP","aerobic electron transport chain","GO:0019646","false","0.0006276227121516904","3.202301348731251","90","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:BP","mitochondrial ATP synthesis coupled electron transport","GO:0042775","false","0.0008121348669519894","3.090371843776803","98","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:BP","ATP synthesis coupled electron transport","GO:0042773","false","0.000837459986721219","3.077035934095672","99","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:BP","respiratory electron transport chain","GO:0022904","false","0.001029587238844136","2.9873368489066223","106","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:BP","electron transport chain","GO:0022900","false","0.0013169313001993891","2.8804368801046696","115","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:BP","oxidative phosphorylation","GO:0006119","false","0.0013169313001993891","2.8804368801046696","115","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:BP","aerobic respiration","GO:0009060","false","0.002875354994582739","2.54130852917579","149","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:BP","cellular respiration","GO:0045333","false","0.0036984606595654294","2.431978996517168","162","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:BP","energy derivation by oxidation of organic compounds","GO:0015980","false","0.007285295854750891","2.1375528069033556","203","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:BP","generation of precursor metabolites and energy","GO:0006091","false","0.014435340994066693","1.8405729526843768","255","4","3","11686","MT:ND6,MT:ND3,MT:ND2"
"GO:CC","mitochondrial membrane","GO:0031966","true","0.031259170438407764","1.5050225515504332","365","5","3","12142","MT:ND6,MT:ND3,MT:ND2"
"GO:CC","mitochondrial envelope","GO:0005740","false","0.038612061326422184","1.4132770127039969","392","5","3","12142","MT:ND6,MT:ND3,MT:ND2"
"KEGG","Oxidative phosphorylation","KEGG:00190","false","0.004533018665892591","2.34361249261626","146","4","3","3541","MT:ND6,MT:ND3,MT:ND2"
"HP","Multiple glomerular cysts","HP:0100611","false","0.00875017110963994","2.057983454263877","7","3","2","3327","MT:ND3,MT:ND2"
"HP","Abnormality of Krebs cycle metabolism","HP:0000816","false","0.049910659896832424","1.3018066880449504","16","3","2","3327","MT:ND3,MT:ND2"
